trade_dt,underlying,change,change_percent,close,high,last_updated,low,open,previous_close,volume,vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,ticker,spot_price,bid_yf,roi,roi_annualized,delta,gamma,theta,vega,implied_volatility,open_interest,underlying_ticker
1/15/26,BKNG,-30.2,-66.1,15.45,15.45,2026-01-15T05:00:00+00:00,15.45,15.45,45.69,5,15.45,put,american,2026-01-23,100,4980,O:BKNG260123P04980000,5186.14013671875,9.3,0.025479452054794523,1.1625,-0.15328095992619387,0.001111561304277646,-3.064981623301026,1.9810070335679515,0.27640207581312204,9,BKNG
1/15/26,MELI,-14.1,-60.9,9,10.9,2026-01-15T05:00:00+00:00,6.37,6.37,23.15,8,8.2663,put,american,2026-01-23,100,2000,O:MELI260123P02000000,2103.7099609375,6.1,0.016712328767123287,0.7625,-0.1580771693750961,0.002265436548816076,-1.562634863969286,0.7990600497500967,0.3414467326769012,6,MELI
1/15/26,ASML,-31.8,-85.9,5.2,6.9,2026-01-15T05:00:00+00:00,5.2,6,37.03,26,6.1031,put,american,2026-01-23,100,1265,O:ASML260123P01265000,1336.280029296875,4.9,0.013424657534246577,0.6125,-0.14319858688661025,0.003132199807707111,-1.0025246714120604,0.5082094734966508,0.3644202310516722,67,ASML
1/15/26,APP,-0.94,-15.1,5.3,5.3,2026-01-15T05:00:00+00:00,3.03,3.08,6.24,112,4.0645,put,american,2026-01-23,100,545,O:APP260123P00545000,609.8099975585938,4.7,0.012876712328767123,0.5875,-0.14810925959874546,0.003583980562725046,-0.9166672395700688,0.22546887305852312,0.7171606361240298,47,APP
1/15/26,KLAC,-27.3,-57.2,20.45,21.4,2026-01-15T05:00:00+00:00,20.45,21.4,47.75,12,20.5708,put,american,2026-02-20,100,1330,O:KLAC260220P01330000,1548.925048828125,17.0,0.04657534246575343,0.4722222222222222,-0.14479716669480788,0.0009102117934552465,-0.7782714772336314,1.1698097264958547,0.5152798725350092,15,KLAC
1/15/26,ISRG,0,0,4.85,7.02,2026-01-14T21:00:00+00:00,4.85,7.02,4.85,2,5.935,put,american,2026-01-23,100,497.5,O:ISRG260123P00497500,542.2100219726562,2.55,0.006986301369863013,0.31875,-0.15046182376964995,0.005198548069257395,-0.6436874077980641,0.2031555608545358,0.5602001688992403,3,ISRG
1/15/26,META,-1.26,-39.4,1.94,2.82,2026-01-15T05:00:00+00:00,1.32,1.35,3.2,913,1.9036,put,american,2026-01-23,100,595,O:META260123P00595000,620.25,2.25,0.0061643835616438354,0.28125,-0.14686908631105297,0.009390871368578411,-0.34285136524999305,0.2358732158074059,0.2667669376560613,1106,META
1/15/26,COST,-1.83,-44.1,2.32,3.14,2026-01-15T05:00:00+00:00,2.15,3.14,4.15,143,2.5338,put,american,2026-01-23,100,930,O:COST260123P00930000,956.3300170898438,2.24,0.006136986301369864,0.28,-0.15923947247356324,0.008837690334214679,-0.4005353479194322,0.36476507828652993,0.1933415364005588,101,COST
1/15/26,MU,-2.01,-46.7,2.29,2.29,2026-01-15T05:00:00+00:00,1.47,1.91,4.3,519,1.7548,put,american,2026-01-23,100,312.5,O:MU260123P00312500,337.489990234375,2.0,0.005479452054794521,0.25,-0.1558354083965477,0.008604376244565205,-0.4069421261703158,0.12748705428089743,0.5526689052652966,153,MU
1/15/26,INTU,-0.84,-30.2,1.94,1.94,2026-01-15T05:00:00+00:00,1.94,1.94,2.78,1,1.94,put,american,2026-01-23,100,525,O:INTU260123P00525000,553.9349975585938,1.9,0.0052054794520547945,0.2375,-0.1428071068319747,0.008123932859329623,-0.3858426402490633,0.2107490757778902,0.33925692743477043,5,INTU
1/15/26,TSLA,-0.32,-13.4,2.07,2.07,2026-01-15T05:00:00+00:00,1.28,1.8,2.39,1528,1.626,put,american,2026-01-23,100,415,O:TSLA260123P00415000,438.3800048828125,1.81,0.004958904109589041,0.22625,-0.15495454110201556,0.00993275289820006,-0.34793940490153275,0.1663348202059777,0.36881694385036157,2673,TSLA
1/15/26,CRWD,-1.31,-62.4,0.79,0.79,2026-01-15T05:00:00+00:00,0.78,0.78,2.1,6,0.7883,put,american,2026-01-23,100,427.5,O:CRWD260123P00427500,454.1499938964844,1.74,0.004767123287671233,0.2175,-0.15902497670437052,0.009808307243449036,-0.36418337921733246,0.17131219166918665,0.36896427659710307,310,CRWD
1/15/26,AVGO,-1.15,-40.8,1.67,1.67,2026-01-15T05:00:00+00:00,1.18,1.67,2.82,115,1.4412,put,american,2026-01-23,100,322.5,O:AVGO260123P00322500,343.05999755859375,1.67,0.004575342465753424,0.20874999999999996,-0.15318627216574465,0.01093755518270744,-0.3129724049142217,0.13033422331495723,0.42408302476213555,278,AVGO
1/15/26,CEG,-3.1,-67,1.53,1.75,2026-01-15T05:00:00+00:00,1.53,1.75,4.63,13,1.6992,put,american,2026-01-23,100,317.5,O:CEG260123P00317500,340.80999755859375,1.65,0.00452054794520548,0.20625000000000002,-0.1433153529770076,0.009480360316100209,-0.3322319313437211,0.12889625134239707,0.4720031396724357,11,CEG
1/15/26,AMAT,-8.56,-84.8,1.54,1.54,2026-01-15T05:00:00+00:00,1.09,1.17,10.1,1974,1.2991,put,american,2026-01-23,100,302.5,O:AMAT260123P00302500,321.1499938964844,1.41,0.0038630136986301366,0.17625,-0.15039031478755735,0.011858665052136346,-0.28197753705278655,0.1221376561449752,0.4126121248756724,50,AMAT
1/15/26,MSFT,-0.04,-3.08,1.26,1.33,2026-01-15T05:00:00+00:00,0.68,0.77,1.3,1196,0.9825,put,american,2026-01-23,100,440,O:MSFT260123P00440000,456.70001220703125,1.26,0.003452054794520548,0.1575,-0.1475502003135998,0.01420389005140693,-0.22849896312408394,0.17438509457222082,0.240159234973067,4738,MSFT
1/15/26,SNPS,0,0,2.46,2.46,2026-01-09T21:00:00+00:00,2.46,2.46,2.46,1,2.46,put,american,2026-01-23,100,475,O:SNPS260123P00475000,506.2699890136719,1.25,0.003424657534246575,0.15625,-0.1513131982807938,0.0075263756351316834,-0.4463612981861359,0.1913643108658097,0.4156127357910202,2,SNPS
