trade_dt,ticker,spot,strike,moneyness,premium,iv,delta,roi,roi_annualized,option_ticker,expiry
2026-01-14,AAPL,259.9599914550781,5.0,0.0192,0.01,16.000005,-0.000043,0.2000,36.5000,AAPL260116P00005000,2026-01-16
2026-01-14,AAPL,259.9599914550781,10.0,0.0385,0.01,13.000002,-0.000055,0.1000,18.2500,AAPL260116P00010000,2026-01-16
2026-01-14,AAPL,259.9599914550781,15.0,0.0577,0.05,11.500003,-0.000079,0.3333,60.8333,AAPL260116P00015000,2026-01-16
2026-01-14,AAPL,259.9599914550781,20.0,0.0769,0.01,10.250004,-0.000085,0.0500,9.1250,AAPL260116P00020000,2026-01-16
2026-01-14,AAPL,259.9599914550781,25.0,0.0962,0.01,9.250004,-0.000084,0.0400,7.3000,AAPL260116P00025000,2026-01-16
2026-01-14,AAPL,259.9599914550781,30.0,0.1154,0.01,8.500005,-0.000090,0.0333,6.0833,AAPL260116P00030000,2026-01-16
2026-01-14,AAPL,259.9599914550781,35.0,0.1346,0.01,9.687504,-0.000802,0.0286,5.2143,AAPL260116P00035000,2026-01-16
2026-01-14,AAPL,259.9599914550781,40.0,0.1539,0.01,9.031254,-0.000861,0.0250,4.5625,AAPL260116P00040000,2026-01-16
2026-01-14,AAPL,259.9599914550781,45.0,0.1731,0.02,7.000001,-0.000134,0.0444,8.1111,AAPL260116P00045000,2026-01-16
2026-01-14,AAPL,259.9599914550781,50.0,0.1923,0.01,6.500002,-0.000123,0.0200,3.6500,AAPL260116P00050000,2026-01-16
2026-01-14,AAPL,259.9599914550781,55.0,0.2116,0.01,6.250002,-0.000166,0.0182,3.3182,AAPL260116P00055000,2026-01-16
2026-01-14,AAPL,259.9599914550781,60.0,0.2308,0.01,5.875003,-0.000166,0.0167,3.0417,AAPL260116P00060000,2026-01-16
2026-01-14,AAPL,259.9599914550781,65.0,0.2500,0.01,6.906251,-0.001501,0.0154,2.8077,AAPL260116P00065000,2026-01-16
2026-01-14,AAPL,259.9599914550781,70.0,0.2693,0.01,5.250003,-0.000178,0.0143,2.6071,AAPL260116P00070000,2026-01-16
2026-01-14,AAPL,259.9599914550781,75.0,0.2885,0.01,5.000004,-0.000197,0.0133,2.4333,AAPL260116P00075000,2026-01-16
2026-01-14,AAPL,259.9599914550781,80.0,0.3077,0.01,4.750004,-0.000209,0.0125,2.2812,AAPL260116P00080000,2026-01-16
2026-01-14,AAPL,259.9599914550781,85.0,0.3270,0.01,4.500004,-0.000213,0.0118,2.1471,AAPL260116P00085000,2026-01-16
2026-01-14,AAPL,259.9599914550781,90.0,0.3462,0.01,4.250005,-0.000208,0.0111,2.0278,AAPL260116P00090000,2026-01-16
2026-01-14,AAPL,259.9599914550781,95.0,0.3654,0.01,4.062505,-0.000234,0.0105,1.9211,AAPL260116P00095000,2026-01-16
2026-01-14,AAPL,259.9599914550781,100.0,0.3847,0.01,3.875000,-0.000255,0.0100,1.8250,AAPL260116P00100000,2026-01-16
2026-01-14,AAPL,259.9599914550781,105.0,0.4039,0.01,3.625001,-0.000221,0.0095,1.7381,AAPL260116P00105000,2026-01-16
2026-01-14,AAPL,259.9599914550781,110.0,0.4231,0.01,3.500001,-0.000280,0.0091,1.6591,AAPL260116P00110000,2026-01-16
2026-01-14,AAPL,259.9599914550781,115.0,0.4424,0.01,3.312502,-0.000280,0.0087,1.5870,AAPL260116P00115000,2026-01-16
2026-01-14,AAPL,259.9599914550781,120.0,0.4616,0.01,3.125002,-0.000271,0.0083,1.5208,AAPL260116P00120000,2026-01-16
2026-01-14,AAPL,259.9599914550781,125.0,0.4808,0.01,3.000002,-0.000325,0.0080,1.4600,AAPL260116P00125000,2026-01-16
2026-01-14,AAPL,259.9599914550781,130.0,0.5001,0.01,2.875003,-0.000384,0.0077,1.4038,AAPL260116P00130000,2026-01-16
2026-01-14,AAPL,259.9599914550781,135.0,0.5193,0.02,2.687503,-0.000344,0.0148,2.7037,AAPL260116P00135000,2026-01-16
2026-01-14,AAPL,259.9599914550781,140.0,0.5385,0.01,2.562504,-0.000391,0.0071,1.3036,AAPL260116P00140000,2026-01-16
2026-01-14,AAPL,259.9599914550781,145.0,0.5578,0.01,2.625003,-0.000958,0.0069,1.2586,AAPL260116P00145000,2026-01-16
2026-01-14,AAPL,259.9599914550781,150.0,0.5770,0.03,2.250004,-0.000354,0.0200,3.6500,AAPL260116P00150000,2026-01-16
2026-01-14,AAPL,259.9599914550781,155.0,0.5962,0.01,2.281254,-0.000821,0.0065,1.1774,AAPL260116P00155000,2026-01-16
2026-01-14,AAPL,259.9599914550781,160.0,0.6155,0.01,2.000005,-0.000398,0.0063,1.1406,AAPL260116P00160000,2026-01-16
2026-01-14,AAPL,259.9599914550781,165.0,0.6347,0.08,1.875001,-0.000409,0.0485,8.8485,AAPL260116P00165000,2026-01-16
2026-01-14,AAPL,259.9599914550781,170.0,0.6539,0.01,1.812501,-0.000609,0.0059,1.0735,AAPL260116P00170000,2026-01-16
2026-01-14,AAPL,259.9599914550781,175.0,0.6732,0.01,1.687502,-0.000613,0.0057,1.0429,AAPL260116P00175000,2026-01-16
2026-01-14,AAPL,259.9599914550781,180.0,0.6924,0.01,1.562502,-0.000601,0.0056,1.0139,AAPL260116P00180000,2026-01-16
2026-01-14,AAPL,259.9599914550781,185.0,0.7116,0.01,1.437503,-0.000572,0.0054,0.9865,AAPL260116P00185000,2026-01-16
2026-01-14,AAPL,259.9599914550781,190.0,0.7309,0.03,1.515627,-0.002166,0.0158,2.8816,AAPL260116P00190000,2026-01-16
2026-01-14,AAPL,259.9599914550781,195.0,0.7501,0.01,1.250004,-0.000798,0.0051,0.9359,AAPL260116P00195000,2026-01-16
2026-01-14,AAPL,259.9599914550781,200.0,0.7693,0.01,1.125004,-0.000703,0.0050,0.9125,AAPL260116P00200000,2026-01-16
2026-01-14,AAPL,259.9599914550781,205.0,0.7886,0.01,1.234379,-0.004047,0.0049,0.8902,AAPL260116P00205000,2026-01-16
2026-01-14,AAPL,259.9599914550781,210.0,0.8078,0.01,0.937501,-0.000923,0.0048,0.8690,AAPL260116P00210000,2026-01-16
2026-01-14,AAPL,259.9599914550781,215.0,0.8271,0.02,0.960938,-0.003375,0.0093,1.6977,AAPL260116P00215000,2026-01-16
2026-01-14,AAPL,259.9599914550781,220.0,0.8463,0.01,0.750003,-0.001187,0.0045,0.8295,AAPL260116P00220000,2026-01-16
2026-01-14,AAPL,259.9599914550781,225.0,0.8655,0.01,0.703128,-0.002507,0.0044,0.8111,AAPL260116P00225000,2026-01-16
2026-01-14,AAPL,259.9599914550781,230.0,0.8848,0.01,0.625004,-0.003728,0.0043,0.7935,AAPL260116P00230000,2026-01-16
2026-01-14,AAPL,259.9599914550781,232.5,0.8944,0.01,0.578129,-0.004189,0.0043,0.7849,AAPL260116P00232500,2026-01-16
